model,game,condition,attempted_n,parsed,compliance_rate,best_response_rate,payoff_calc,deviation,profitable_deviation,ce_label,mediator_trust,label_skepticism
gpt-5.4,3x3 Dominated Strategy,C7-fake,10,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,3x3 Dominated Strategy,C7-real,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,Battle of the Sexes,C1,10,10,1.0,1.0,0.8,1.0,0.0,0.6,0.4,0.0
gpt-5.4,Battle of the Sexes,C2,10,10,1.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Battle of the Sexes,C3,10,10,1.0,1.0,0.6,1.0,0.0,0.2,0.0,0.0
gpt-5.4,Battle of the Sexes,C4,10,10,0.9,0.1,0.5,1.0,0.0,0.8,0.0,0.0
gpt-5.4,Battle of the Sexes,C5,10,10,0.3,0.7,0.1,1.0,0.0,0.8,0.1,0.0
gpt-5.4,Battle of the Sexes,C7-fake,10,10,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Battle of the Sexes,C7-real,10,10,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Chicken,C1,10,10,1.0,1.0,0.9,1.0,0.0,0.8,0.5,0.0
gpt-5.4,Chicken,C2,10,10,0.9,0.9,0.9,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Chicken,C3,10,10,1.0,1.0,1.0,1.0,0.0,0.3,0.0,0.0
gpt-5.4,Chicken,C4,10,10,0.9,0.1,0.5,1.0,0.0,0.5,0.0,0.0
gpt-5.4,Chicken,C5,10,10,0.5,0.5,0.3,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Chicken,C7-fake,10,10,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Chicken,C7-real,10,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Prisoner's Dilemma,C1,5,5,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0
gpt-5.4,Prisoner's Dilemma,C2,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Prisoner's Dilemma,C3,5,5,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.0
gpt-5.4,Prisoner's Dilemma,C4,5,5,1.0,0.0,0.0,0.8,0.0,1.0,0.2,0.0
gpt-5.4,Prisoner's Dilemma,C5,5,5,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2
gpt-5.4,Prisoner's Dilemma,C7-fake,5,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Prisoner's Dilemma,C7-real,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Pure Coordination,C1,10,10,1.0,1.0,0.4,1.0,0.0,0.2,0.2,0.0
gpt-5.4,Pure Coordination,C2,10,10,1.0,1.0,0.4,1.0,0.1,0.0,0.0,0.0
gpt-5.4,Pure Coordination,C3,10,10,1.0,1.0,0.8,1.0,0.0,0.4,0.0,0.0
gpt-5.4,Pure Coordination,C4,10,10,0.1,0.9,0.3,1.0,0.5,1.0,0.0,0.0
gpt-5.4,Pure Coordination,C5,10,10,0.8,0.2,0.2,0.9,0.0,0.2,0.0,0.0
gpt-5.4,Pure Coordination,C7-fake,10,10,0.0,1.0,0.2,1.0,0.1,0.0,0.0,0.0
gpt-5.4,Pure Coordination,C7-real,10,10,1.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C1,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C2,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C3,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C4,15,15,1.0,0.0,1.0,1.0,0.06666666666666667,0.3333333333333333,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C5,15,15,0.7333333333333333,0.26666666666666666,1.0,1.0,0.0,0.2,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C7-fake,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5.4,Rock-Paper-Scissors,C7-real,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
